resistance,vitesse,satiete,vision,time_lived
-0.079,0.37,1.916,0.045,331.0
1.303,0.272,1.151,1.51,320.0
-0.747,1.583,0.239,1.947,342.0
0.81,3.504,-0.945,-0.258,480.0
-0.805,0.602,-0.773,1.099,249.0
2.264,1.673,-0.087,3.043,711.0
-0.722,0.685,1.171,0.938,252.0
0.664,-0.115,1.076,3.195,480.0
0.977,0.993,0.133,1.905,342.0
0.143,0.179,0.885,1.148,327.0
0.325,0.695,-0.442,2.114,241.0
0.154,0.917,-1.411,2.576,298.0
-0.508,2.427,-0.472,1.654,310.0
0.406,-1.163,-0.928,-0.663,285.0
0.391,1.428,-0.934,0.024,313.0
1.021,2.04,-1.56,1.503,315.0
-1.11,1.642,0.054,-0.7,160.0
-0.994,0.823,-1.325,-0.305,296.0
-0.599,1.953,-0.748,0.846,200.0
-0.423,2.269,0.287,2.608,221.0
-1.155,-0.183,0.031,1.284,241.0
1.008,1.352,-0.321,0.066,156.0
0.912,1.933,0.313,1.926,298.0
-0.073,1.305,-0.069,1.084,598.0
-0.765,1.475,-1.738,2.241,283.0
-1.124,-0.327,0.076,1.192,261.0
-0.403,1.81,-1.217,0.1,270.0
0.787,1.892,0.556,0.905,292.0
0.766,1.027,0.164,0.94,372.0
1.745,0.056,-1.393,2.171,270.0
-1.19,0.579,-1.442,0.582,163.0
-0.118,0.969,0.421,-0.189,256.0
1.265,0.057,-0.288,1.067,340.0
0.408,1.678,-1.202,0.834,318.0
1.405,1.334,-1.402,0.713,221.0
0.178,1.456,-1.162,1.829,218.0
-1.985,1.113,-0.563,1.839,177.0
3.096,0.733,-0.443,2.053,392.0
-1.121,-0.177,1.741,0.603,234.0
-0.326,-0.377,2.234,2.187,228.0
-0.167,1.895,-0.279,1.515,206.0
-1.014,0.927,0.28,2.317,237.0
0.073,1.668,0.198,2.237,233.0
-0.668,0.525,-0.681,2.91,387.0
-1.571,0.097,-0.668,0.338,138.0
0.865,0.144,-0.658,2.457,484.0
-0.754,3.533,2.711,0.741,241.0
0.598,1.761,-0.468,0.895,325.0
1.031,-0.186,0.52,1.068,311.0
-1.82,-0.455,1.173,1.022,183.0
-0.776,0.325,0.814,1.633,299.0
